model_id,scenario_id,fault,target_modality,fault_length,phase,macro_f1,micro_f1,masked_bce,macro_f1_fold_std,micro_f1_fold_std,masked_bce_fold_std,fold_count,seed_count_per_fold
B4,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,5,pre,0.601991860099,0.712139101685,0.414438956246,0.0385161681784,0.0254004966704,0.0273302794537,5,3
B4,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,15,fault,0.552132895777,0.667195871649,0.443708131922,0.0425735016259,0.0164720891056,0.0331954161551,5,3
B4,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,15,post,0.607809938314,0.728014116701,0.389816802158,0.0515631503302,0.025184602924,0.0287061777734,5,3
B4,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,15,pre,0.598298622178,0.725402193369,0.393134481846,0.0427863616578,0.0316263130727,0.0381959642376,5,3
B4,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,30,fault,0.540657751592,0.679018622926,0.430049594725,0.0589268242581,0.0209158391811,0.0429115044179,5,3
B4,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,30,post,0.609874471618,0.74341852749,0.376973083177,0.0456609418616,0.0348069566464,0.0447359386201,5,3
B4,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,30,pre,0.599804223899,0.739007206159,0.37705001413,0.0560238604181,0.0337853243725,0.0398409255663,5,3
B4,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,5,fault,0.573998495889,0.687482966188,0.437220626398,0.0359037502719,0.0258352891695,0.0240824216692,5,3
B4,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,5,post,0.601188529274,0.710050282676,0.417778801474,0.0335906151192,0.0280042694024,0.0314860460429,5,3
B4,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,5,pre,0.601991860099,0.712139101685,0.414438956246,0.0385161681784,0.0254004966704,0.0273302794537,5,3
B4,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,15,fault,0.584923920684,0.705687227543,0.413905261725,0.0346852799355,0.0228829793513,0.0279893674649,5,3
B4,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,15,post,0.607809938314,0.728014116701,0.389816802158,0.0515631503302,0.025184602924,0.0287061777734,5,3
B4,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,15,pre,0.598298622178,0.725402193369,0.393134481846,0.0427863616578,0.0316263130727,0.0381959642376,5,3
B4,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,30,fault,0.567319849855,0.717353329487,0.40060823219,0.0319568864955,0.024554625812,0.0347320263802,5,3
B4,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,30,post,0.609874471618,0.74341852749,0.376973083177,0.0456609418616,0.0348069566464,0.0447359386201,5,3
B4,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,30,pre,0.599804223899,0.739007206159,0.37705001413,0.0560238604181,0.0337853243725,0.0398409255663,5,3
B5,persistent.drop.audio,drop,audio,5,fault,0.589560986102,0.688767557127,0.450790144729,0.0350115046244,0.0336963857496,0.0432298502186,5,3
