model_id,fold,scenario_id,drop_modality,noisy_modality,gaussian_sigma,macro_f1,micro_f1,mean_average_precision,brier_score,seed_count
B4,2,mixed.drop-phone_acc.gaussian-audio.sigma-1,phone_acc,audio,1,0.562814348367,0.669281548092,0.563984146357,0.143512849523,3
B4,2,mixed.drop-phone_acc.gaussian-audio.sigma-2,phone_acc,audio,2,0.555874723834,0.660309163965,0.554850888415,0.147254086014,3
B4,2,mixed.drop-phone_acc.gaussian-location.sigma-1,phone_acc,location,1,0.566239756971,0.67568465126,0.570841023252,0.140796758036,3
B4,2,mixed.drop-phone_acc.gaussian-location.sigma-2,phone_acc,location,2,0.558291738439,0.672972164133,0.564235429852,0.142028194211,3
B4,2,mixed.drop-phone_acc.gaussian-phone_gyro.sigma-1,phone_acc,phone_gyro,1,0.583329726362,0.691247025955,0.587976336116,0.134584164895,3
B4,2,mixed.drop-phone_acc.gaussian-phone_gyro.sigma-2,phone_acc,phone_gyro,2,0.577977043469,0.688311665251,0.582673850068,0.136429299787,3
B4,2,mixed.drop-phone_acc.gaussian-phone_state.sigma-1,phone_acc,phone_state,1,0.532529120079,0.648246165849,0.535241856055,0.149342943523,3
B4,2,mixed.drop-phone_acc.gaussian-phone_state.sigma-2,phone_acc,phone_state,2,0.507105187571,0.626380594673,0.508420359904,0.157243912598,3
B4,2,mixed.drop-phone_acc.gaussian-watch_acc.sigma-1,phone_acc,watch_acc,1,0.569923705322,0.675756142357,0.573910752416,0.140745937365,3
B4,2,mixed.drop-phone_acc.gaussian-watch_acc.sigma-2,phone_acc,watch_acc,2,0.55229117984,0.663263666713,0.554159495337,0.146034733391,3
B4,2,mixed.drop-phone_gyro.gaussian-audio.sigma-1,phone_gyro,audio,1,0.575589721388,0.689560021939,0.57920412799,0.13386195698,3
B4,2,mixed.drop-phone_gyro.gaussian-audio.sigma-2,phone_gyro,audio,2,0.569351206412,0.682492012796,0.570769975712,0.13666351478,3
B4,2,mixed.drop-phone_gyro.gaussian-location.sigma-1,phone_gyro,location,1,0.575850547488,0.693906893693,0.587253600789,0.132727477158,3
B4,2,mixed.drop-phone_gyro.gaussian-location.sigma-2,phone_gyro,location,2,0.566362862901,0.689834258211,0.579665899961,0.134583985138,3
B4,2,mixed.drop-phone_gyro.gaussian-phone_acc.sigma-1,phone_gyro,phone_acc,1,0.587616052258,0.705256905929,0.59906017752,0.127756377279,3
B4,2,mixed.drop-phone_gyro.gaussian-phone_acc.sigma-2,phone_gyro,phone_acc,2,0.582190171308,0.700460280157,0.591828403061,0.129882434688,3
B4,2,mixed.drop-phone_gyro.gaussian-phone_state.sigma-1,phone_gyro,phone_state,1,0.552558710307,0.673166474068,0.551506616938,0.138776236336,3
B4,2,mixed.drop-phone_gyro.gaussian-phone_state.sigma-2,phone_gyro,phone_state,2,0.533683784462,0.655291744809,0.529222505968,0.145231521116,3
