model_id,fold,scenario_id,available_count,available_modalities,drop_modalities,macro_f1,micro_f1,mean_average_precision,brier_score,seed_count
B4,1,mask.011010,3,phone_gyro|watch_acc|audio,phone_acc|location|phone_state,0.488676314993,0.626418973258,0.503009355061,0.145734685863,3
B4,1,mask.011011,4,phone_gyro|watch_acc|audio|phone_state,phone_acc|location,0.558182895666,0.662926724041,0.569436451267,0.137628128888,3
B4,1,mask.011100,3,phone_gyro|watch_acc|location,phone_acc|audio|phone_state,0.476018904951,0.567363282848,0.491781137747,0.176860846666,3
B4,1,mask.011101,4,phone_gyro|watch_acc|location|phone_state,phone_acc|audio,0.563387750142,0.62977264441,0.555608439362,0.152268098147,3
B4,1,mask.011110,4,phone_gyro|watch_acc|location|audio,phone_acc|phone_state,0.531849546115,0.629254832253,0.539596865407,0.143495023218,3
B4,1,mask.011111,5,phone_gyro|watch_acc|location|audio|phone_state,phone_acc,0.585384146679,0.672468863463,0.582624874381,0.133812314078,3
B4,1,mask.100000,1,phone_acc,phone_gyro|watch_acc|location|audio|phone_state,0.379106545881,0.552805327589,0.378749422139,0.192933687425,3
B4,1,mask.100001,2,phone_acc|phone_state,phone_gyro|watch_acc|location|audio,0.487303230533,0.62714316415,0.501738006264,0.175205771054,3
B4,1,mask.100010,2,phone_acc|audio,phone_gyro|watch_acc|location|phone_state,0.472410650821,0.625516116889,0.471364713196,0.151959107182,3
B4,1,mask.100011,3,phone_acc|audio|phone_state,phone_gyro|watch_acc|location,0.528052703866,0.661471710488,0.537958311845,0.144078895249,3
B4,1,mask.100100,2,phone_acc|location,phone_gyro|watch_acc|audio|phone_state,0.462011247068,0.59031696463,0.461745140043,0.164667275756,3
B4,1,mask.100101,3,phone_acc|location|phone_state,phone_gyro|watch_acc|audio,0.517911976633,0.641377080799,0.517298924931,0.153543052276,3
B4,1,mask.100110,3,phone_acc|location|audio,phone_gyro|watch_acc|phone_state,0.503283821442,0.633224547324,0.51975009619,0.144366957446,3
B4,1,mask.100111,4,phone_acc|location|audio|phone_state,phone_gyro|watch_acc,0.543198509247,0.675006075567,0.555109120857,0.135540515344,3
B4,1,mask.101000,2,phone_acc|watch_acc,phone_gyro|location|audio|phone_state,0.491831527653,0.597086700289,0.49682846167,0.165282126732,3
B4,1,mask.101001,3,phone_acc|watch_acc|phone_state,phone_gyro|location|audio,0.553001174276,0.64084003505,0.575894534888,0.156462663744,3
B4,1,mask.101010,3,phone_acc|watch_acc|audio,phone_gyro|location|phone_state,0.537111178601,0.656243279541,0.542022218424,0.135716502699,3
B4,1,mask.101011,4,phone_acc|watch_acc|audio|phone_state,phone_gyro|location,0.578715441752,0.676100315411,0.591807200891,0.132883141874,3
B4,1,mask.101100,3,phone_acc|watch_acc|location,phone_gyro|audio|phone_state,0.525559709269,0.612990603601,0.526995010606,0.156253611123,3
B4,1,mask.101101,4,phone_acc|watch_acc|location|phone_state,phone_gyro|audio,0.577066689182,0.651454752605,0.58011200223,0.145472820456,3
B4,1,mask.101110,4,phone_acc|watch_acc|location|audio,phone_gyro|phone_state,0.565722094083,0.661230680719,0.566091767412,0.135110447028,3
B4,1,mask.101111,5,phone_acc|watch_acc|location|audio|phone_state,phone_gyro,0.597822506629,0.689826875695,0.599999402972,0.128671169652,3
B4,1,mask.110000,2,phone_acc|phone_gyro,watch_acc|location|audio|phone_state,0.373833120316,0.547436317194,0.387791673497,0.186142720206,3
B4,1,mask.110001,3,phone_acc|phone_gyro|phone_state,watch_acc|location|audio,0.491062083541,0.628205135087,0.505900918685,0.169239671257,3
B4,1,mask.110010,3,phone_acc|phone_gyro|audio,watch_acc|location|phone_state,0.470591265232,0.623305719737,0.477382276466,0.14989023545,3
B4,1,mask.110011,4,phone_acc|phone_gyro|audio|phone_state,watch_acc|location,0.532716234569,0.661728559201,0.544079335041,0.142413705197,3
B4,1,mask.110100,3,phone_acc|phone_gyro|location,watch_acc|audio|phone_state,0.475452865433,0.589695416365,0.477548595633,0.162984449525,3
B4,1,mask.110101,4,phone_acc|phone_gyro|location|phone_state,watch_acc|audio,0.537651261596,0.640219764682,0.533979755378,0.152855601943,3
B4,1,mask.110110,4,phone_acc|phone_gyro|location|audio,watch_acc|phone_state,0.520213595282,0.633877104654,0.530680442739,0.143836560814,3
B4,1,mask.110111,5,phone_acc|phone_gyro|location|audio|phone_state,watch_acc,0.56362783632,0.675076717253,0.568851140867,0.135593273352,3
B4,1,mask.111000,3,phone_acc|phone_gyro|watch_acc,location|audio|phone_state,0.488968102869,0.589559168209,0.498498060531,0.164619612461,3
B4,1,mask.111001,4,phone_acc|phone_gyro|watch_acc|phone_state,location|audio,0.558114971014,0.638312893764,0.576694098358,0.154346004382,3
B4,1,mask.111010,4,phone_acc|phone_gyro|watch_acc|audio,location|phone_state,0.536605668436,0.651053167709,0.546065237443,0.135711194811,3
B4,1,mask.111011,5,phone_acc|phone_gyro|watch_acc|audio|phone_state,location,0.584471835256,0.673232271499,0.595128248607,0.132629756421,3
B4,1,mask.111100,4,phone_acc|phone_gyro|watch_acc|location,audio|phone_state,0.530465731006,0.609656740439,0.533679709172,0.155341402277,3
B4,1,mask.111101,5,phone_acc|phone_gyro|watch_acc|location|phone_state,audio,0.583796875115,0.649454332759,0.584952429511,0.145347033133,3
B4,1,mask.111110,5,phone_acc|phone_gyro|watch_acc|location|audio,phone_state,0.571388337072,0.658500524344,0.570885151157,0.135054200498,3
B4,1,mask.111111,6,phone_acc|phone_gyro|watch_acc|location|audio|phone_state,,0.605309750726,0.687746104376,0.605207422012,0.129034117091,3
B4,2,mask.000001,1,phone_state,phone_acc|phone_gyro|watch_acc|location|audio,0.420737983808,0.623198280366,0.425026506666,0.183534649448,3
B4,2,mask.000010,1,audio,phone_acc|phone_gyro|watch_acc|location|phone_state,0.344217618302,0.585927320856,0.367407881542,0.167198936738,3
B4,2,mask.000011,2,audio|phone_state,phone_acc|phone_gyro|watch_acc|location,0.455670557484,0.646907818387,0.448861377264,0.1543169614,3
B4,2,mask.000100,1,location,phone_acc|phone_gyro|watch_acc|audio|phone_state,0.293124516386,0.49684446295,0.322499926964,0.217195413617,3
B4,2,mask.000101,2,location|phone_state,phone_acc|phone_gyro|watch_acc|audio,0.472943775548,0.635484986445,0.475177579709,0.162516161403,3
B4,2,mask.000110,2,location|audio,phone_acc|phone_gyro|watch_acc|phone_state,0.390992721553,0.579455068142,0.398727874147,0.166345419363,3
B4,2,mask.000111,3,location|audio|phone_state,phone_acc|phone_gyro|watch_acc,0.498748602909,0.663071638335,0.491724422975,0.143098761041,3
