repeat,p2_macro_f1_seed_then_fold_mean,p_macro_f1_seed_then_fold_mean,delta_p2_minus_p
239,0.572825057179,0.572316283146,0.000508774032407
240,0.571649407576,0.570446525019,0.00120288255733
241,0.571590454935,0.569154536063,0.00243591887239
242,0.578087803141,0.579074713044,-0.000986909902909
243,0.56951933074,0.569893163711,-0.000373832971169
244,0.543300157894,0.543229737229,7.04206650185e-05
245,0.577835728142,0.574737277933,0.00309845020954
246,0.574128251354,0.57057642926,0.00355182209339
247,0.565405432796,0.564080079043,0.001325353753
248,0.603256654338,0.603293270564,-3.66162251446e-05
249,0.562427603403,0.562086035638,0.000341567764565
250,0.580139398424,0.578746875611,0.0013925228125
251,0.565031446604,0.561232548885,0.00379889771898
252,0.56623772302,0.562125155052,0.00411256796791
253,0.586987342999,0.587133732667,-0.000146389668377
254,0.586998836539,0.583746246095,0.00325259044427
255,0.585193061398,0.586115395603,-0.000922334204773
256,0.584364712055,0.583569817065,0.000794894990308
257,0.537080097449,0.53659207879,0.000488018658539
258,0.563093097729,0.561364984082,0.00172811364676
259,0.581770565609,0.57999197844,0.00177858716823
260,0.557525631355,0.557210584497,0.000315046857953
261,0.573593866618,0.570827782092,0.00276608452615
262,0.582373993483,0.578694755353,0.00367923812992
263,0.568608362413,0.567424905679,0.00118345673378
264,0.571140355604,0.572019254103,-0.000878898498406
265,0.568806236862,0.568858244737,-5.20078748677e-05
266,0.571315588953,0.572512685853,-0.0011970969001
267,0.58374720156,0.58373587497,1.13265905147e-05
268,0.568760562635,0.565070815351,0.00368974728425
269,0.572184979667,0.572041061974,0.000143917692567
270,0.556186876112,0.555175840364,0.00101103574783
271,0.576034376673,0.57621480769,-0.000180431017095
272,0.575044239722,0.575082497238,-3.82575159864e-05
273,0.574507638437,0.57497722119,-0.00046958275276
274,0.553127781874,0.551886900286,0.0012408815884
275,0.535635971436,0.531269720435,0.00436625100088
276,0.590252262592,0.589850429938,0.000401832654104
277,0.593564554547,0.592174070191,0.00139048435571
278,0.56638953927,0.564990880846,0.00139865842367
279,0.556337782249,0.553659263445,0.00267851880339
280,0.560367549133,0.560636037466,-0.000268488333125
281,0.567418133701,0.56661004593,0.000808087770925
282,0.581570656146,0.578537413755,0.00303324239133
283,0.580605310003,0.582075362179,-0.00147005217588
284,0.595140253931,0.595405502152,-0.000265248221279
285,0.567958396583,0.566739375352,0.00121902123114
286,0.577453293829,0.578488088138,-0.00103479430924
287,0.577322783137,0.576647044202,0.000675738935455
288,0.551449640196,0.55095010333,0.000499536866814
289,0.579423909898,0.577636610706,0.00178729919188
290,0.573466421987,0.573585803781,-0.000119381794775
291,0.572996915974,0.572479867755,0.000517048219542
292,0.577770113506,0.577758912501,1.12010050512e-05
293,0.593390229982,0.591239346731,0.0021508832512
294,0.59192211976,0.589369828552,0.00255229120743
295,0.557066612457,0.557436079457,-0.00036946699968
296,0.583381173296,0.582766988907,0.000614184389195
297,0.550916322629,0.549623732654,0.00129258997548
298,0.547876791933,0.548117765989,-0.000240974055744
299,0.577529957049,0.576329178804,0.0012007782453
300,0.58492117786,0.586037317722,-0.00111613986209
