model_id,fold,scenario_id,fault,target_modality,fault_length,phase,macro_f1,micro_f1,masked_bce,seed_count
B4,1,persistent.drop.phone_gyro,drop,phone_gyro,5,fault,0.583770526982,0.689991633277,0.420463192171,3
B4,1,persistent.drop.phone_gyro,drop,phone_gyro,5,post,0.598520699491,0.693321126262,0.41241233168,3
B4,1,persistent.drop.phone_gyro,drop,phone_gyro,5,pre,0.602928743465,0.695157635258,0.409533971559,3
B4,1,persistent.drop.phone_gyro,drop,phone_gyro,15,fault,0.576532483008,0.70423835522,0.410952409767,3
B4,1,persistent.drop.phone_gyro,drop,phone_gyro,15,post,0.586375648037,0.701950672748,0.405167879153,3
B4,1,persistent.drop.phone_gyro,drop,phone_gyro,15,pre,0.556697857838,0.699262034566,0.406683499622,3
B4,1,persistent.drop.phone_gyro,drop,phone_gyro,30,fault,0.550679779342,0.713509970139,0.400987843726,3
B4,1,persistent.drop.phone_gyro,drop,phone_gyro,30,post,0.559111075285,0.711551289159,0.405780194791,3
B4,1,persistent.drop.phone_gyro,drop,phone_gyro,30,pre,0.545981930661,0.697429246559,0.413221164233,3
B4,1,persistent.drop.phone_state,drop,phone_state,5,fault,0.559012177442,0.657165720655,0.476889370131,3
B4,1,persistent.drop.phone_state,drop,phone_state,5,post,0.598520699491,0.693321126262,0.41241233168,3
B4,1,persistent.drop.phone_state,drop,phone_state,5,pre,0.602928743465,0.695157635258,0.409533971559,3
B4,1,persistent.drop.phone_state,drop,phone_state,15,fault,0.550297061125,0.665320534625,0.484531537575,3
B4,1,persistent.drop.phone_state,drop,phone_state,15,post,0.586375648037,0.701950672748,0.405167879153,3
B4,1,persistent.drop.phone_state,drop,phone_state,15,pre,0.556697857838,0.699262034566,0.406683499622,3
B4,1,persistent.drop.phone_state,drop,phone_state,30,fault,0.524333083512,0.676911416305,0.472012402287,3
B4,1,persistent.drop.phone_state,drop,phone_state,30,post,0.559111075285,0.711551289159,0.405780194791,3
B4,1,persistent.drop.phone_state,drop,phone_state,30,pre,0.545981930661,0.697429246559,0.413221164233,3
B4,1,persistent.drop.watch_acc,drop,watch_acc,5,fault,0.556560516914,0.677237889102,0.455419908562,3
B4,1,persistent.drop.watch_acc,drop,watch_acc,5,post,0.598520699491,0.693321126262,0.41241233168,3
B4,1,persistent.drop.watch_acc,drop,watch_acc,5,pre,0.602928743465,0.695157635258,0.409533971559,3
B4,1,persistent.drop.watch_acc,drop,watch_acc,15,fault,0.567939871436,0.693949198547,0.450654902258,3
B4,1,persistent.drop.watch_acc,drop,watch_acc,15,post,0.586375648037,0.701950672748,0.405167879153,3
B4,1,persistent.drop.watch_acc,drop,watch_acc,15,pre,0.556697857838,0.699262034566,0.406683499622,3
B4,1,persistent.drop.watch_acc,drop,watch_acc,30,fault,0.553873538467,0.70139360726,0.444087361362,3
B4,1,persistent.drop.watch_acc,drop,watch_acc,30,post,0.559111075285,0.711551289159,0.405780194791,3
B4,1,persistent.drop.watch_acc,drop,watch_acc,30,pre,0.545981930661,0.697429246559,0.413221164233,3
B4,1,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,5,fault,0.562878496988,0.652389867053,0.456839977456,3
B4,1,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,5,post,0.598520699491,0.693321126262,0.41241233168,3
B4,1,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,5,pre,0.602928743465,0.695157635258,0.409533971559,3
B4,1,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,15,fault,0.561513638396,0.668610803242,0.447491989672,3
B4,1,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,15,post,0.586375648037,0.701950672748,0.405167879153,3
B4,1,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,15,pre,0.556697857838,0.699262034566,0.406683499622,3
B4,1,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,30,fault,0.531934535366,0.67711737133,0.449259728651,3
B4,1,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,30,post,0.559111075285,0.711551289159,0.405780194791,3
B4,1,persistent.gaussian_sigma_2.audio,gaussian_sigma_2,audio,30,pre,0.545981930661,0.697429246559,0.413221164233,3
B4,1,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,5,fault,0.579227269422,0.675700590254,0.430954284136,3
B4,1,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,5,post,0.598520699491,0.693321126262,0.41241233168,3
B4,1,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,5,pre,0.602928743465,0.695157635258,0.409533971559,3
B4,1,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,15,fault,0.576418640138,0.689334755992,0.415811134102,3
B4,1,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,15,post,0.586375648037,0.701950672748,0.405167879153,3
B4,1,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,15,pre,0.556697857838,0.699262034566,0.406683499622,3
B4,1,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,30,fault,0.546323437257,0.704578452337,0.405236868346,3
B4,1,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,30,post,0.559111075285,0.711551289159,0.405780194791,3
B4,1,persistent.gaussian_sigma_2.location,gaussian_sigma_2,location,30,pre,0.545981930661,0.697429246559,0.413221164233,3
B4,1,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,5,fault,0.584458208989,0.682897865603,0.420049176613,3
B4,1,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,5,post,0.598520699491,0.693321126262,0.41241233168,3
B4,1,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,5,pre,0.602928743465,0.695157635258,0.409533971559,3
B4,1,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,15,fault,0.578201028317,0.694815721452,0.41386956822,3
B4,1,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,15,post,0.586375648037,0.701950672748,0.405167879153,3
B4,1,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,15,pre,0.556697857838,0.699262034566,0.406683499622,3
B4,1,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,30,fault,0.554798548052,0.707379269923,0.405694752327,3
B4,1,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,30,post,0.559111075285,0.711551289159,0.405780194791,3
B4,1,persistent.gaussian_sigma_2.phone_acc,gaussian_sigma_2,phone_acc,30,pre,0.545981930661,0.697429246559,0.413221164233,3
B4,1,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,5,fault,0.591608460274,0.684930105408,0.413644829932,3
B4,1,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,5,post,0.598520699491,0.693321126262,0.41241233168,3
B4,1,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,5,pre,0.602928743465,0.695157635258,0.409533971559,3
B4,1,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,15,fault,0.588263656565,0.700570338415,0.401432161956,3
B4,1,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,15,post,0.586375648037,0.701950672748,0.405167879153,3
B4,1,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,15,pre,0.556697857838,0.699262034566,0.406683499622,3
B4,1,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,30,fault,0.557889162793,0.711099472986,0.393751043347,3
B4,1,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,30,post,0.559111075285,0.711551289159,0.405780194791,3
B4,1,persistent.gaussian_sigma_2.phone_gyro,gaussian_sigma_2,phone_gyro,30,pre,0.545981930661,0.697429246559,0.413221164233,3
B4,1,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,5,fault,0.537093427756,0.639236315905,0.459463199304,3
B4,1,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,5,post,0.598520699491,0.693321126262,0.41241233168,3
B4,1,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,5,pre,0.602928743465,0.695157635258,0.409533971559,3
B4,1,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,15,fault,0.532617982274,0.652391357544,0.45399437518,3
B4,1,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,15,post,0.586375648037,0.701950672748,0.405167879153,3
B4,1,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,15,pre,0.556697857838,0.699262034566,0.406683499622,3
B4,1,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,30,fault,0.501763557312,0.659979886777,0.449890371633,3
B4,1,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,30,post,0.559111075285,0.711551289159,0.405780194791,3
B4,1,persistent.gaussian_sigma_2.phone_state,gaussian_sigma_2,phone_state,30,pre,0.545981930661,0.697429246559,0.413221164233,3
B4,1,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,5,fault,0.571353836139,0.673550329765,0.433540062464,3
B4,1,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,5,post,0.598520699491,0.693321126262,0.41241233168,3
B4,1,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,5,pre,0.602928743465,0.695157635258,0.409533971559,3
B4,1,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,15,fault,0.566832595146,0.68871034014,0.425695992874,3
B4,1,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,15,post,0.586375648037,0.701950672748,0.405167879153,3
B4,1,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,15,pre,0.556697857838,0.699262034566,0.406683499622,3
B4,1,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,30,fault,0.543220721781,0.696704589781,0.419748225555,3
B4,1,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,30,post,0.559111075285,0.711551289159,0.405780194791,3
B4,1,persistent.gaussian_sigma_2.watch_acc,gaussian_sigma_2,watch_acc,30,pre,0.545981930661,0.697429246559,0.413221164233,3
B4,2,persistent.drop.audio,drop,audio,5,fault,0.591803316159,0.693763903136,0.475129158339,3
B4,2,persistent.drop.audio,drop,audio,5,post,0.607956300294,0.719397453476,0.42381737359,3
B4,2,persistent.drop.audio,drop,audio,5,pre,0.607760158838,0.719066795136,0.430913668747,3
B4,2,persistent.drop.audio,drop,audio,15,fault,0.593690048262,0.696097451267,0.474231240919,3
B4,2,persistent.drop.audio,drop,audio,15,post,0.615668400596,0.726763598427,0.410817906332,3
B4,2,persistent.drop.audio,drop,audio,15,pre,0.607257061595,0.727011646971,0.418282044943,3
B4,2,persistent.drop.audio,drop,audio,30,fault,0.601983272443,0.708805374855,0.462477877623,3
B4,2,persistent.drop.audio,drop,audio,30,post,0.608311048591,0.727047641416,0.41817024129,3
B4,2,persistent.drop.audio,drop,audio,30,pre,0.609716542323,0.730495441523,0.407166865633,3
B4,2,persistent.drop.location,drop,location,5,fault,0.580859420307,0.703936202772,0.500293339969,3
B4,2,persistent.drop.location,drop,location,5,post,0.607956300294,0.719397453476,0.42381737359,3
B4,2,persistent.drop.location,drop,location,5,pre,0.607760158838,0.719066795136,0.430913668747,3
B4,2,persistent.drop.location,drop,location,15,fault,0.585455117517,0.70893249153,0.496314155664,3
B4,2,persistent.drop.location,drop,location,15,post,0.615668400596,0.726763598427,0.410817906332,3
